airport,percent_delayed,minutes_delayed
OME,13.28,9290.0
ONT,19.13,587848.0
ORD,21.08,11303184.0
ORF,22.18,730644.0
ORH,16.24,33410.0
OTH,21.33,8832.0
OTZ,11.91,9502.0
PAE,23.05,78976.0
PBG,16.01,12458.0
PBI,25.56,1110632.0
PDX,18.27,1488842.0
PGD,24.52,300846.0
PGV,14.98,23092.0
PHF,13.91,33844.0
PHL,21.76,4627922.0
PHX,18.05,5226694.0
PIA,22.57,157094.0
PIB,21.53,21324.0
PIE,25.12,435220.0
PIH,8.03,12646.0
PIT,20.44,1276876.0
PLN,21.16,32060.0
PNS,22.0,441362.0
PPG,15.79,3438.0
PQI,24.8,24628.0
PRC,23.87,49146.0
PSC,17.08,114138.0
PSE,29.51,30730.0
PSG,14.92,11782.0
PSM,12.26,7448.0
PSP,18.47,296554.0
PUW,16.89,14228.0
PVD,22.18,540122.0
PVU,28.24,132480.0
PWM,19.85,351390.0
RAP,19.24,148830.0
RDD,16.72,40376.0
RDM,16.72,152456.0
RDU,21.44,1900384.0
RFD,15.31,24800.0
RHI,20.24,31832.0
RIC,21.66,767336.0
RIW,16.64,24246.0
RKS,17.93,25304.0
RNO,19.02,487880.0
ROA,22.41,229374.0
ROC,21.36,459010.0
ROW,20.65,37132.0
RST,23.84,94242.0
RSW,21.6,1018488.0
SAF,22.08,106536.0
SAN,23.95,2705660.0
SAT,22.45,1213772.0
SAV,21.16,657490.0
SBA,17.56,206010.0
SBN,24.26,277298.0
SBP,19.65,162508.0
SBY,15.67,46092.0
SCC,11.75,7856.0
SCE,19.38,97200.0
SCK,20.68,15756.0
SDF,20.41,727394.0
SEA,19.36,4014856.0
SFB,27.87,513926.0
SFO,26.39,4911338.0
SGF,22.55,333402.0
SGU,15.26,68462.0
SHR,18.79,26156.0
SHV,19.16,198914.0
SIT,21.65,29510.0
SJC,17.04,939354.0
SJT,20.17,25136.0
SJU,25.58,1313178.0
SLC,15.09,2531674.0
SLN,23.28,37226.0
SMF,18.61,1176170.0
SMX,21.9,3652.0
SNA,16.86,854342.0
SPI,20.62,21766.0
SPN,4.9,3700.0
SPS,19.09,22862.0
SRQ,20.67,499358.0
STC,3.49,516.0
STL,18.41,1576816.0
STS,20.54,100308.0
STT,19.8,133142.0
STX,25.91,36756.0
SUN,12.19,38732.0
SUX,26.75,41992.0
SWF,15.81,14200.0
SWO,16.62,22006.0
SYR,21.69,490708.0
TLH,17.92,153496.0
TOL,21.08,10410.0
TPA,22.57,2453238.0
TRI,14.77,87404.0
TTN,22.17,44774.0
TUL,21.12,552056.0
TUS,19.47,494226.0
